sequential reference,1,10,0.000001
recursive,8,10,0.000273
recursive,16,10,0.000306
recursive,32,10,0.000633
recursive,48,10,0.000784
sequential reference,1,10,0.000001
iterative,8,10,0.000301
iterative,16,10,0.000311
iterative,32,10,0.000655
iterative,48,10,0.000828
sequential reference,1,10,0.000001
hillis-steele,8,10,0.000275
hillis-steele,16,10,0.000305
hillis-steele,32,10,0.000643
hillis-steele,48,10,0.000820
sequential reference,1,100,0.000002
recursive,8,100,0.000349
recursive,16,100,0.000358
recursive,32,100,0.000707
recursive,48,100,0.000905
sequential reference,1,100,0.000002
iterative,8,100,0.000288
iterative,16,100,0.000373
iterative,32,100,0.000751
iterative,48,100,0.000951
sequential reference,1,100,0.000002
hillis-steele,8,100,0.000306
hillis-steele,16,100,0.000354
hillis-steele,32,100,0.000736
hillis-steele,48,100,0.000987
sequential reference,1,1000000,0.013854
recursive,8,1000000,0.004545
recursive,16,1000000,0.002867
recursive,32,1000000,0.002822
recursive,48,1000000,0.003102
sequential reference,1,1000000,0.013955
iterative,8,1000000,0.003521
iterative,16,1000000,0.002158
iterative,32,1000000,0.002219
iterative,48,1000000,0.002486
sequential reference,1,1000000,0.013942
hillis-steele,8,1000000,0.028998
hillis-steele,16,1000000,0.016599
hillis-steele,32,1000000,0.011823
hillis-steele,48,1000000,0.012287
sequential reference,1,100000000,1.284376
recursive,8,100000000,0.445957
recursive,16,100000000,0.303923
recursive,32,100000000,0.248626
recursive,48,100000000,0.239305
sequential reference,1,100000000,1.419217
iterative,8,100000000,1.022998
iterative,16,100000000,1.017470
iterative,32,100000000,1.025290
iterative,48,100000000,1.061679
sequential reference,1,100000000,1.383570
hillis-steele,8,100000000,3.949183
hillis-steele,16,100000000,2.445655
hillis-steele,32,100000000,2.481725
hillis-steele,48,100000000,2.433655
sequential reference,1,10,0.000003
recursive,8,10,0.000276
recursive,16,10,0.000295
recursive,32,10,0.000610
recursive,48,10,0.000782
iterative,8,10,0.000312
iterative,16,10,0.000318
iterative,32,10,0.000670
iterative,48,10,0.000841
hillis-steele,8,10,0.000297
hillis-steele,16,10,0.000331
hillis-steele,32,10,0.000677
hillis-steele,48,10,0.000851
sequential reference,1,100,0.000004
recursive,8,100,0.000304
recursive,16,100,0.000331
recursive,32,100,0.000676
recursive,48,100,0.000996
iterative,8,100,0.000340
iterative,16,100,0.000375
iterative,32,100,0.000735
